active_time,author,cuisine,directions,ingredients,link,photographer,pub_date,rating,servings,title,total_time
20 minutes,J. Kenji López-Alt,Tomato,"Adjust oven rack to lower position and preheat oven to 300°F (165°C). Place tomatoes in a large bowl. Using your hands, crush the tomatoes by squeezing them in your fingers until pieces no larger than 1/2-inch remain. Transfer 3 cups of crushed tomatoes to a sealed container and reserve in the refrigerator until step 4.,Heat olive oil and butter over medium heat in a large Dutch oven until butter is melted. Add garlic and cook, stirring, until softened and fragrant but not browned, about 2 minutes. Add pepper flakes and oregano and cook, stirring, until fragrant, about 1 minute. Add tomatoes, carrot, onion, and basil, and stir to combine. Season lightly with salt and pepper. Bring to a simmer over high heat.,Cover Dutch oven with lid slightly ajar and transfer to oven. Cook, stirring once every 1 to 2 hours, until reduced by about half and darkened to a deep red, 5 to 6 hours (reduce oven temperature if the sauce is bubbling too rapidly or the browned bits begin to turn too dark).,Remove from oven. Using tongs, discard onion halves, carrots, and basil stems. Add reserved tomatoes to sauce and stir to combine. Add fish sauce, if using. Season generously with salt and pepper and stir in minced herbs along with additional olive oil as desired. Serve immediately, or allow to cool at room temperature, transfer to airtight containers, and refrigerate for up to 1 week. Sauce can also be frozen in sealed containers for up to 6 months. To reheat, warm very gently in a saucepan with 1/2 cup water, stirring until it all melts and heats through.","4 (28-ounce) cans whole peeled tomatoes, preferably imported D.O.P. San Marzano tomatoes (see note),1/4 cup extra-virgin olive oil, plus more for finishing.,4 tablespoons butter,8 cloves garlic, minced (about 3 tablespoons),1 teaspoon red pepper flakes,1 tablespoon dried oregano,1 medium carrot, cut into large chunks,1 medium onion, split in half,1 large stem fresh basil,Kosher salt and freshly ground black pepper,1 tablespoon fish sauce (optional), such as ,1/2 cup minced fresh parsley or basil leaves (or a mix of the two)",https://www.seriouseats.com/recipes/2014/09/the-best-slow-cooked-italian-american-tomato-sauce-red-sauce-recipe.html, J. Kenji Lopez-Alt],"September 22, 2014",4.9333333333333,Makes about 2 quarts,The Best Slow-Cooked Tomato Sauce Recipe,6 hours
45 minutes,J. Kenji López-Alt,Pork," Working in batches, combine paprika, brown sugar, salt, Prague Powder (if using), mustard seed, black pepper, garlic powder, oregano, coriander seed, and red pepper flakes in a spice grinder and reduce to a fine powder.,Divide mixture in half. Rub half of mixture evenly all over pork shoulder, pressing it in until it adheres. Place pork shoulder in a sous vide–safe vacuum-sealer bag. Add liquid smoke (if using) and seal bag., Set your precision cooker to 165°F (74°C) for more traditionally textured pulled pork, or 145°F (63°C)  for sliceable but tender pork. When the bath is at temperature, add sealed bag with pork and cover with foil or plastic wrap. Allow to cook for 18 to 24 hours. After this stage, pork can be refrigerated for up to 1 week before continuing., Adjust oven rack to lower-middle position and preheat oven to 300°F. Remove pork from sous vide bag and carefully blot dry with paper towels. (The liquid from the bag can be added to your favorite barbecue sauce and simmered down to provide extra flavor.) Rub reserved spice mixture into the surface of the pork. Place pork on a wire rack set in a rimmed baking sheet and place in oven. Roast until a deep, dark bark has formed, about 1 1/2 hours. Continue with step 7., , When all the charcoal is lit and covered with gray ash, pour out and arrange coals on one side of the charcoal grate. Set cooking grate in place, cover grill, and allow to preheat for 5 minutes. Alternatively, set half the burners on a gas grill to medium-high heat, cover, and preheat for 10 minutes. , and , the grilling grate.,Remove pork from bag and carefully blot dry with paper towels. (The liquid from the bag can be added to your favorite barbecue sauce and simmered down to provide extra flavor.) Rub reserved spice mixture into the surface of the pork. Place pork on the cooler side of grill. Add 4 to 5 hardwood chunks to the hotter side of grill. Cover and allow pork to smoke, adjusting vents to maintain a temperature between 275 and 300°F and adding 2 to 3 wood chunks twice during cooking. Smoke until a deep, dark bark has formed, about 1 1/2 hours. Continue with step 7.,Transfer pork to a large bowl or cutting board. Using a couple of forks, shred meat into bite-size pieces (or, if you cooked it at 145°F, use a knife to slice the pork). Season pulled pork to taste with salt and serve immediately, passing your favorite barbecue sauce at the table.","1/4 cup (50g) paprika,1/4 cup (50g) dark brown sugar,3 tablespoons (35g) kosher salt,1/2 teaspoon (2g) , (optional; see note),1 tablespoon (12g) whole yellow mustard seed ,1 teaspoon (4g) freshly ground black pepper,2 tablespoons (20g) granulated garlic powder ,1 tablespoon (8g) dried oregano,1 tablespoon (12g) whole coriander seed,1 teaspoon (4g) red pepper flakes ,1 whole boneless or bone-in pork butt (shoulder), 5 to 7 pounds total (2.25 to 3.25kg),1/2 teaspoon (3ml) liquid smoke, such as , (optional; see note),Kosher salt",https://www.seriouseats.com/recipes/2016/07/sous-vide-barbecue-pulled-pork-shoulder-recipe.html, J. Kenji López-Alt],"July  6, 2016",4.4117647058824,Serves 8 to 12,Sous Vide Barbecue Pulled Pork Shoulder Recipe,21 to 27 hours
25 minutes,Sho Spaeth,Rice,"In a 10-inch cast iron skillet, heat oil over medium heat until just starting to shimmer. Add sliced garlic and cook, stirring frequently, until garlic is golden brown all over, about 7 minutes, taking care not to let any garlic pieces burn. Remove garlic and reserve.,Add spinach to skillet, season with salt, and cook, tossing frequently, until wilted and mostly dry, about 5 minutes. Turn off heat, add remaining 1 clove minced garlic, and stir until minced garlic becomes fragrant, about 30 seconds. Add sesame oil and vinegar and toss to combine. Transfer spinach to plate and wipe out the skillet with clean kitchen towel (no need to wash).,: Return skillet to medium-high heat and heat until just starting to smoke. Meanwhile, smear chicken skin with thin layer of mayonnaise, if using (if not, proceed with recipe). Season breasts with salt, then add to skillet, skin side down; for optimal browning, place a , on top of each breast (optional). Cook until skin is well-browned and crisp, about 5 minutes. Flip breasts, lower heat to medium-low and continue to cook until thermometer inserted into thickest part of the breast registers 150°F (65°C), about 6 minutes. Transfer breasts to plate to rest.,: Return skillet to medium-high heat and heat until just starting to smoke. Meanwhile, smear chicken skin with thin layer of mayonnaise, if using (if not, proceed with recipe). Season chicken with salt, then add to skillet, skin-side down; for optimal browning, place a , on top of each piece of chicken (optional). Cook until skin is well-browned and crisp, about 6 minutes. Flip chicken and continue to cook until thermometer inserted into thickest part of thighs and drumsticks registers 160°F (71°C), about 1 minute longer for the drumsticks and 3 minutes longer for the thighs. As each piece of chicken reaches its doneness, transfer to a plate to rest.,Meanwhile, add sake to skillet and cook, scraping up any brown bits on the bottom of the skillet, until sake no longer smells of alcohol, about 1 minute. Add dashi, soy sauce, mirin, and reserved sliced garlic. Bring liquid to boil, then reduce heat to medium-low and let simmer until slightly reduced and garlic cloves are fully cooked, about 4 minutes. Add cornstarch slurry in small increments to the skillet, pausing between each addition to let the mixture thicken a bit. When sauce has thickened slightly (you may not need all the slurry), turn off heat and add butter to pan, swirling and stirring until it is fully melted and incorporated into the sauce. , Place a shy 1 1/2 cups of rice into each serving bowl. Top with kizami nori (if using). Slice chicken into 1/4-inch-wide slabs (if using breasts) or 1/4-inch-wide deboned strips (if using thighs and drumsticks) and distribute evenly in each bowl. Spoon sauce over rice and chicken. Distribute cooked spinach and garlic cloves evenly in each bowl. Top each bowl with raw egg yolk, if using, and garnish with sliced scallions and pickled ginger (if using). Serve immediately, with any excess sauce passed alongside.","1 tablespoon (15ml) canola or other neutral cooking oil,9 medium cloves garlic, 8 halved (larger cloves can be cut into thirds) and 1 minced, divided,One 10-ounce (280g) bunch spinach, thoroughly washed and spun dry,Kosher salt,1/2 teaspoon (2.5ml) sesame oil,1/2 teaspoon (2.5ml) rice vinegar,2 boneless, skin-on chicken breast halves (each about 7 ounces; 200g), tender removed; or 2 boneless, skin-on thighs (each about 5 oz; 140g) and 2 boneless, skin-on drumsticks (each about 3 ounces; 80g),1/4 teaspoon (1ml) mayonnaise (optional),1/4 cup (60ml) sake,1/4 cup (60ml) dashi, either , or , (see note),1/4 cup (60ml) soy sauce,2 tablespoons (30ml) mirin,1/2 teaspoon cornstarch, stirred into 1 tablespoon (15ml) water to make a slurry,1 tablespoon (15g) unsalted butter,:,6 cups cooked, short-grain Japanese rice (see note), nori (optional; see note),4 egg yolks (optional),2 scallions (1 1/2 ounces; 40g), sliced thinly, (pickled ginger strips) (optional; see note)",https://www.seriouseats.com/recipes/2020/01/chicken-donburi-japanese-rice-bowl-with-spinach.html, Vicky Wasik],"January 10, 2020",,Serves 4,Chicken Donburi (Japanese Rice Bowl) With Spinach Recipe,30 minutes
Prep time 5 minutes; cooking time 10 minutes,Denise D'silva Sankhé,Indian,"In a 10-inch nonstick skillet, heat oil over medium-high heat, until shimmering. Add onions and stir until softened, about 1 minute. Add tomatoes, mix well, and cook until most of the excess moisture has evaporates, about 1 minute. ,Add green chillies and ginger-garlic paste, and stir until fragrant, about 30 seconds. Add red chili powder and turmeric powder, and stir until oil separates from the paste, about 30 seconds, taking care not to burn the paste. ,Turn the heat to low. Add eggs and salt, and gently stir until the mixture begins to form soft curds, about 1 minute. Increase the heat to high, and vigorously stir the mixture, breaking bigger clumps of egg apart. Add 1 teaspoon of butter, and stir until melted. Stir in half of the cilantro. Remove from heat, and serve immediately, garnishing with remaining coriander and a teaspoon of butter. Serve with lightly toasted bread.","2 tablespoons vegetable oil,1 medium onion, chopped finely,2 medium tomatoes chopped finely,3 green chilli peppers slit lengthwise ,2 teaspoons ginger-garlic paste (see note),1 teaspoon red chilli powder,1/2 teaspoon turmeric powder,4 large eggs, whisked lightly,Salt,2 teaspoons unsalted butter, divided,1/4 cup chopped cilantro leaves, divided",https://www.seriouseats.com/recipes/2012/02/anda-bhurji-spicy-indian-scrambled-eggs-recipe.html,,"February 28, 2012",4.5,serves 2,Anda Bhurji (Spicy Indian Scrambled Eggs) Recipe,15 minutes
1 hour,Daniel Gritzer,Italian,"In a heatproof measuring cup, sprinkle gelatin all over surface of stock and let stand for 5 minutes (if not using stock and gelatin, proceed to Step 2). Microwave stock, stirring once or twice, until gelatin completely dissolves, about 2 minutes. Pour stock into a wide heatproof bowl and refrigerate until fully set, about 30 minutes.,In the bowl of a stand mixer, combine bread with buttermilk, tossing to coat. Let stand, tossing occasionally, until bread is completely moist, about 10 minutes. Squeeze bread between your fingers or mash with a spoon to make sure there are no dry spots;  if there are dry spots that refuse to moisten, add more buttermilk 1 tablespoon at a time until bread is moist throughout.,Add onion, garlic, Parmigiano-Reggiano, parsley, salt, pepper, pancetta, egg yolks, oregano, and fennel to bread/buttermilk mixture. Finely mince gelled stock, if using, and add.,Set mixer bowl in stand mixer and attach paddle. Starting at low speed and gradually increasing to medium-high speed, beat bread mixture until thoroughly blended, stopping to scrape down sides as necessary. Add 1/3 each of the beef and pork and beat at medium-high speed until thoroughly blended with bread mixture.,Remove bowl from stand mixer and add remaining beef and pork. Using a clean hand, gently mix meatball mixture, teasing apart ground meat with your fingers, just until ground beef and pork are thoroughly distributed throughout; avoid mixing any more than is necessary for even distribution.,Preheat broiler and set oven rack in upper position. Line a rimmed baking sheet with aluminum foil. Form meatball mixture into handball-sized balls and arrange on prepared baking sheet; you should be able to make about 10. Broil meatballs until browned on top, about 7 minutes (browning times can vary dramatically, depending on oven broiler strength).,Heat tomato sauce in a medium pot until simmering and add meatballs. Simmer until meatballs are just cooked through and register about 145°F on an instant-read thermometer, about 10 minutes.,Serve meatballs, spooning sauce all over and grating more cheese on top.","1 packet unflavored gelatin (optional, see note),1/2 cup , or low-sodium broth (optional, see note),4 ounces fresh white bread, crusts removed and bread cut into 1/2-inch cubes (about 2 unpacked cups),1/3 cup buttermilk, plus more as needed,1 medium onion, minced,8 cloves garlic, ,2 ounces grated Parmigiano-Reggiano, grated, plus more for serving.,1/2 cup loosely packed fresh parsley leaves, minced,3 teaspoons kosher salt (14 grams; see note),Freshly ground black pepper,3 ounces fatty pancetta, finely minced (see note),4 large egg yolks,1 teaspoon dried oregano,1 teaspoon ground fennel seed,1 pound ground beef (at least 25% fat),1 pound ground pork (at least 25% fat),5 cups tomato sauce, such as ,, ,, or ",https://www.seriouseats.com/recipes/2015/01/italian-american-beef-pork-meatballs-red-tomato-sauce-recipe.html, Vicky Wasik. Video,"January 12, 2015",4.5142857142857,Serves 4 to 6 (makes about 10 handball-sized meatballs),Juicy and Tender Italian-American Meatballs in Red Sauce Recipe,1 hour 30 minutes
10 minutes,J. Kenji López-Alt,Italian,"Heat 3 tablespoons olive oil and about a teaspoon of black pepper in a medium skillet over medium-low heat until ingredients are fragrant and pepper is barely starting to sizzle, about 1 minute. Set aside.,Place spaghetti in a large skillet and cover with water. Season with a small pinch of salt, then bring to a boil over high heat, prodding spaghetti occasionally with a fork or wooden spoon to prevent it from clumping. Cook until spaghetti is al dente (typically about 1 minute less than the package recommends). Transfer 2 to 3 tablespoons of pasta cooking water to the skillet with the olive oil/pepper mixture. Stir in butter. Using tongs, lift spaghetti and transfer it to the oil/butter mixture.,Add cheese and remaining tablespoon olive oil to the skillet and stir with a fork until cheese is completely melted. Add a few more tablespoons of pasta water to the skillet to adjust consistency, reheating as necessary until the sauce is creamy and coats each strand of spaghetti. Season to taste with salt and more black pepper. Serve immediately, passing extra grated cheese and black pepper at the table.","4 tablespoons (60ml) extra-virgin olive oil, divided,Coarsely ground black pepper,Kosher salt,1/2 pound (225g) spaghetti,2 tablespoons (30g) unsalted butter ,2 ounces Pecorino Romano cheese (about 1 cup; 55g), very finely grated on a Microplane or the smallest holes of a box grater, plus more for serving",https://www.seriouseats.com/recipes/2016/02/spaghetti-cacio-e-pepe-recipe.html, J. Kenji López-Alt],"February 23, 2016",4.7,Serves 2 to 3,Cacio e Pepe (Spaghetti With Black Pepper and Pecorino Romano) Recipe,15 minutes
10 minutes,J. Kenji López-Alt,Japanese,"Combine water, sake, soy, mirin, and sugar in a medium bowl and whisk until sugar is dissolved, or use an equal amount of , instead. Set aside.,Bring 2 quarts of water to a boil in a medium saucepan over high heat. Pierce fat end of each egg with a thumbtack to make a tiny hole (this prevents them from cracking and eliminates the air bubble at the end). Carefully lower eggs into water with a wire mesh spider or slotted spoon. Reduce heat to maintain a bare simmer (about 190°F). Cook for exactly 6 minutes. Drain hot water and carefully peel eggs under cold running water (the whites will be quite delicate).,Transfer eggs to a bowl that just barely fits them all. Pour marinade on top until eggs are covered or just floating. Place a double-layer of paper towels on top and press down until completely saturated in liquid to help keep eggs submerged and marinating evenly. Refrigerate and marinate at least four hours and up to 12. Discard marinade after 12 hours. Store eggs in a sealed container in the fridge for up to 3 days. Reheat in ramen soup to serve.","1 cup water (about 8 ounces; 225g),1 cup sake (about 8 ounces; 225g),1/2 cup soy sauce (about 4 ounces; 115g),1/2 cup mirin (about 4 ounces; 115g),1/2 cup sugar (about 3 1/2 ounces; 100g),6 large eggs",https://www.seriouseats.com/recipes/2012/03/ajitsuke-tamago-japanese-marinated-soft-boiled-egg-recipe.html, J. Kenji Lopez-Alt],"March  5, 2012",2.7,makes 6 eggs,Japanese Marinated Soft Boiled Egg for Ramen (Ajitsuke Tamago) Recipe,At least 4 hours to marinate
25 minutes,Daniel Gritzer,Italian,"In a large pot, combine oil and garlic and heat over moderately low heat until garlic begins to very gently sizzle. Add red pepper flakes and cook, stirring, until garlic just begins to turn a light golden color, about 3 minutes. Add oregano and continue to cook, stirring, for 1 minute.,Add tomato paste and cook, stirring, until paste has softened and blended with the oil, about 3 minutes.,Stir in canned tomatoes and their juices, increase heat to medium-high, bring to a gentle simmer, then lower heat to maintain. Using an immersion blender, blend tomatoes until sauce is smooth. (Alternatively, blend tomatoes in a standard blender before adding to pot),Add basil and simmer, stirring occasionally, until sauce is reduced slightly and tastes rich, about 30 minutes. Season with salt.,Discard basil. Stir in butter, if using, until melted. Use sauce right away, or allow to cool to room temperature, transfer to sealed containers and refrigerate for up to 5 days or freeze for up to 6 months.","2 tablespoons extra-virgin olive oil,4 cloves garlic, crushed,Generous pinch red pepper flakes,1 teaspoon dried oregano,3 tablespoon tomato paste,2 (28-ounce) cans whole peeled tomatoes,1 large sprig basil,Kosher salt,2 tablespoons unsalted butter (optional)",https://www.seriouseats.com/recipes/2014/09/easy-italian-amercian-red-sauce-recipe.html, Vicky Wasik],"September 23, 2014",5.0,Makes about 5 cups,Quick and Easy Italian-American Red Sauce in 40 Minutes or Less Recipe,40 minutes
45 minutes,J. Kenji López-Alt,Mexican,"Adjust oven rack to middle position and preheat oven to 275 degrees. Cut one onion into fine dice and combine with cilantro. Refrigerate until needed. Split remaining onion into quarters. Set aside. Season pork chunks with 1 tablespoon salt and place in a 9 by 13 glass casserole dish. The pork should fill the dish with no spaces. Split orange into quarters and squeeze juice over pork. Nestle squeezed orange pieces into casserole. Add 2 onion quarters, 4 cloves garlic, bay leaves, and cinnamon stick to casserole. Nestle everything into an even layer. Pour vegetable oil over surface. Cover dish tightly with aluminum foil and place in oven. Cook until pork is fork tender, about 3 1/2 hours.,Set large fine-meshed strainer 1 quart liquid measure or bowl. Using tongs, remove orange peel, onion, garlic, cinnamon stick, and bay leaves from pork. Transfer pork and liquid to strainer. Let drain for 10 minutes. Transfer pork back to casserole. You should end up with about 1/2 cup liquid and 1/2 cup fat. Using a flat spoon or de-fatter, skim fat from surface and add back to pork. Shred pork into large chunks with fingers or two forks. Season to taste with salt. Refrigerate until ready to serve. Transfer remaining liquid to medium saucepot.,Add tomatillos, remaining 2 onion quarters, remaining 2 garlic cloves, and jalapeños to saucepot with strained pork liquid. Add water until it is about 1-inch below the top of the vegetables. Bring to a boil over high heat, reduce to a simmer, and cook until all vegetables are completely tender, about 10 minutes. Blend salsa with hand blender or in a stand-up blender until smooth. Season to taste with salt. Allow to cool and refrigerate until ready to use.,To serve: Place casserole dish with pork 4-inches under a high broiler and broil until brown and crisp on surface, about 6 minutes. Remove pork, stir with a spoon to expose new bits to heat, and broil again for 6 more minutes until crisp. Tent with foil to keep warm.,Meanwhile, heat tortillas. Preheat an 8-inch non-stick skillet over medium-high heat until hot. Working one tortilla at a time, dip tortilla in bowl filled with water. Transfer to hot skillet and cook until water evaporates from first side and tortilla is browned in spots, about 30 seconds. Flip and cook until dry, about 15 seconds longer. Transfer tortilla to a tortilla warmer, or wrap in a clean dish towel. Repeat with remaining tortillas.,To eat, stack two tortillas on top of each other. Add two to three tablespoons carnitas mixture to center. Top with salsa verde, chopped onions and cilantro, and queso fresco. Serve with lime wedges.","2 medium onions,1/2 cup chopped cilantro,3 pounds boneless pork butt (shoulder), rind removed, cut into 2-inch cubes,Kosher salt,1 medium orange,6 cloves garlic, split in half,2 bay leaves,1 cinnamon stick, broken into three or four pieces,1/4 cup vegetable oil,6 medium tomatillos (about 1 1/2 pounds), peeled and split in half,2 jalapeño peppers, split in half lengthwise, stem removed,3 limes, cut into wedges,1 cup crumbled queso fresco or feta,24 corn tortillas",https://www.seriouseats.com/recipes/2010/07/no-waste-tacos-de-carnitas-with-salsa-verde-recipe.html, J. Kenji Lopez-Alt],"July 30, 2010",4.7111111111111,serves 4 to 6,No-Waste Tacos de Carnitas With Salsa Verde Recipe,4 1/2 hours
2 minutes,Joshua Bousel,Japanese,"Mix soy sauce, sugar, mirin, and sake together in a small saucepan. Bring mixture to a boil over medium-high heat, reduce to a simmer, and cook until thickened enough to coat a spoon, about 20 minutes. Remove from heat, let cool, and use immediately or store in an airtight container in the refrigerator.","1 cup Japanese shoyu (soy sauce) ,1/2 cup dark brown sugar ,1 cup Mirin,1/2 cup Sake ",https://www.seriouseats.com/recipes/2012/03/teriyaki-sauce-how-to-make-at-home-recipe.html,,"March 14, 2012",4.0,makes about 1 cup,Basic Teriyaki Sauce Recipe,20 minutes
20 minutes,J. Kenji López-Alt,Japanese,"Combine onion, dashi, sake, soy sauce, and sugar in a medium saucepan or saucier and bring to a simmer over medium heat. Cook, stirring occasionally, until onion is softened, about 5 minutes.,Add beef and cook, stirring until beef is cooked through and liquid has reduced down to an intensely flavored broth, about 5 minutes. Stir in ginger and simmer for 1 minute longer. Adjust seasoning with salt and sugar to taste.,Divide rice between 2 to 3 bowls and top with beef and sauce mixture. Garnish each bowl with a poached egg (if using), sliced scallions, beni-shoga, and togarashi. Serve immediately.","1 small onion, slivered (about 4 ounces; 120g),1/2 cup (120ml) , dashi, or the equivalent in , (see note),1/4 cup (60ml) dry sake ,2 tablespoons (30ml) soy sauce ,1 tablespoon (12g) sugar, plus more to taste,1/2 pound (225g) thinly shaved beef ribeye or chuck steak (see note),1 teaspoon (5ml) grated fresh ginger ,Salt,2 cups cooked white rice,2 , (optional),Sliced scallions,Beni-shoga (see note),Togarashi (see note)",https://www.seriouseats.com/recipes/2016/07/gyudon-japanese-simmered-beef-and-rice-bowl-recipe.html, J. Kenji López-Alt],"July 18, 2016",5.0,Serves 2,Gyudon (Japanese Simmered Beef and Rice Bowls) Recipe,20 minutes
30 minutes,J. Kenji López-Alt,Italian,"Place tomatoes in a colander set over a bowl and season with 2 teaspoons (8g) kosher salt. Toss to coat. Set aside at room temperature to drain, tossing occasionally, while you toast the bread. Drain for a minimum of 15 minutes.,Meanwhile, preheat oven to 350°F (180°C) and adjust rack to center position. In a large bowl, toss bread cubes with 2 tablespoons (30ml) olive oil. Transfer to a rimmed baking sheet. Bake until crisp and firm but not browned, about 15 minutes. Remove from oven and let cool.,Remove colander with tomatoes from bowl with tomato juice. Place colander with tomatoes in the sink. Add shallot, garlic, mustard, and vinegar to the bowl with tomato juice. Whisking constantly, drizzle in the remaining 1/2 cup (120ml) olive oil. Season dressing to taste with salt and pepper.,Combine toasted bread, tomatoes, and dressing in a large bowl. Add basil leaves. Toss everything to coat and season with salt and pepper. Let rest for 30 minutes before serving, tossing occasionally until dressing is completely absorbed by bread.","2 1/2 pounds (1.1kg) mixed tomatoes, cut into bite-size pieces,2 teaspoons (8g) kosher salt, plus more for seasoning,3/4 pound (340g) ciabatta or rustic sourdough bread, cut into 1 1/2–inch cubes (about 6 cups bread cubes),10 tablespoons (150ml) extra-virgin olive oil, divided,1 small shallot, minced (about 2 tablespoons),2 medium cloves garlic, minced (about 2 teaspoons),1/2 teaspoon Dijon mustard,2 tablespoons white wine vinegar or red wine vinegar,Freshly ground black pepper,1/2 cup (1/2 ounce) packed basil leaves, roughly chopped",https://www.seriouseats.com/recipes/2015/09/classic-panzanella-salad-recipe.html, J. Kenji López-Alt],"September 10, 2015",5.0,Serves 6,Classic  Panzanella  Salad (Tuscan-Style Tomato-and-Bread Salad) Recipe,1 hour
30 minutes,J. Kenji López-Alt,Italian," Combine flour, salt, yeast, 0.35 ounce olive oil, and water in the bowl of a food processor fitted with the blade or dough blade attachment. Process until a dough that rides around the blade forms, then continue processing for 30 seconds. Continue with Step 4 below., Combine flour, salt, yeast, and 0.35 ounce olive oil in the bowl of a stand mixer (see below for mixer-free version). Whisk to combine. Fit mixer with dough hook attachment. Add water to mixer and mix on medium speed until dough comes together and no dry flour remains. Increase speed to medium-high and mix until dough is stretchy and smooth, about 6 minutes. The dough should stick to the bottom of bowl, but pull away from the sides. Continue with Step 4 below., Combine flour, salt, and yeast in a large bowl. Whisk to combine. Add 0.35 ounce olive oil and water and stir by hand until dough comes together and no dry flour remains. Cover bowl tightly with plastic wrap and let rest at room temperature for 12 to 24 hours. Continue with Step 4 below.,Pour remaining 1/4 cup olive oil into a 13- by 18-inch rimmed baking sheet and spread over entire inner surface with your hands. Transfer dough to baking sheet and turn in oil until thoroughly coated. Spread gently with your hands. (It will not stretch to fill the pan; this is fine.) Cover baking sheet with plastic wrap and allow to rise at room temperature until dough has slackened and started to spread out toward the edges of the pan, 2 to 3 hours. Carefully remove plastic wrap from pizza dough. Using oiled hands, and working as gently as possible to maintain air bubbles, push and stretch dough into the corners of the pan by pressing out from the center, lifting each corner, and stretching it beyond the edge of the pan. It should pull back until pan is just filled with dough. Set aside for 20 to 30 minutes while you make the sauce., Heat olive oil in a large saucepan over medium heat until shimmering. Add garlic, oregano, and red pepper flakes and cook, stirring, until softened and aromatic, about 1 minute. Add tomatoes. Using a pastry cutter or a potato masher, break up tomatoes into fine chunks. Stir in sugar. Bring to a bare simmer and allow to cook for about 15 minutes to let flavors meld. Season to taste with salt. Set aside and allow to cool slightly.,Thirty minutes before baking, adjust oven rack to lower position and preheat oven to 550°F., Spread slices of mozzarella cheese evenly over surface of pizza. Spoon sauce on top of cheese and spread with the back of a spoon. (You will not need all the sauce; use as much as you like, but be sparing.) Spread pepperoni slices evenly over surface. Sprinkle with half of Romano cheese. Transfer to oven and bake until pepperoni is crisp and curled and bottom of pizza is golden brown when you peek by lifting the corner with a thin spatula, about 10 minutes. With some ovens, you may need to loosely tent the top of the pizza with aluminum foil and continue baking until the bottom is golden and crisp.,Remove pizza from oven. Sprinkle with remaining half of Romano cheese, use a pizza wheel to cut it into slices, and serve immediately.","17.5 ounces bread flour (500g; about 3 1/2 cups),1/2 ounce salt (14g; about 1 tablespoon),1/4 ounce instant or rapid-rise yeast (6g; about 1 1/2 teaspoons),0.35 ounce extra-virgin olive oil (20g; 2 tablespoons), plus 1/4 cup olive oil (60ml; 40g) for the pan,11.5 ounces room-temperature water (325g; about 1 cup plus 7 tablespoons),2 tablespoons (30ml) extra-virgin olive oil,9 medium cloves garlic, roughly chopped,1 tablespoon (about 4g) dried oregano,2 teaspoons (about 3g) dried red pepper flakes, or more to taste,1 (28-ounce; 800g) can whole peeled tomatoes,1 teaspoon (about 4g) sugar,Kosher salt,1 pound (450g) sliced deli-style mozzarella cheese,12 ounces (325g) natural-casing pepperoni, cut into 1/8-inch slices (see note),4 ounces (115g) ground Pecorino Romano cheese",https://www.seriouseats.com/recipes/2016/05/spicy-spring-sicilian-pizza-recipe.html, J. Kenji López-Alt],"May 13, 2016",4.6,"Makes one 13- by 18-inch square pie, serving 6 to 8",Sicilian Pizza With Pepperoni and Spicy Tomato Sauce Recipe,About 4 hours (or 16 to 28 hours if using no-knead hand method)
